lem,val
downfall,"fear,negative,sadness"
downright,trust
downy,positive
drab,"negative,sadness"
draft,anticipation
dragon,fear
drainage,negative
drawback,negative
dreary,"negative,sadness"
drink,negative
drivel,"disgust,negative"
drone,negative
drool,disgust
droop,negative
drought,negative
drown,"fear,negative,sadness"
drowsiness,negative
drudgery,negative
drug,sadness
dubious,"fear,negative,trust"
duel,"anger,anticipation,fear"
duet,positive
duke,positive
dull,"negative,sadness"
dumb,negative
dummy,negative
dump,"anger,negative,sadness"
dun,negative
dung,disgust
dungeon,"fear,negative"
dupe,"anger,negative"
duplicity,"anger,negative"
duress,"anger,disgust,fear,negative,sadness"
dust,negative
dutiful,"anticipation,positive,trust"
dwarf,"fear,negative,sadness"
dynamic,surprise
dysentery,"disgust,negative,sadness"
eagle,trust
earl,positive
earn,positive
earnestly,positive
earthquake,"anger,fear,negative,sadness,surprise"
ease,positive
easement,positive
easygoing,positive
eat,positive
eavesdropping,negative
economy,trust
ecstasy,"anticipation,joy,positive"
ecstatic,"anticipation,joy,positive,surprise"
edict,"fear,negative"
edification,"anticipation,joy,positive,trust"
edition,anticipation
eel,fear
effective,"positive,trust"
effeminate,negative
efficacy,positive
effigy,anger
effort,positive
egotistical,"disgust,negative"
egregious,"anger,disgust,negative"
ejaculation,"anticipation,joy,positive,surprise,trust"
elaboration,positive
elated,"joy,positive"
elbow,anger
elect,"positive,trust"
electorate,trust
elevation,"anticipation,fear,joy,positive,trust"
elf,"anger,disgust,fear"
eligible,positive
elimination,"anger,disgust,fear,negative,sadness"
elite,"anticipation,joy,positive,trust"
elucidate,"positive,trust"
elusive,"negative,surprise"
emaciated,"fear,negative,sadness"
emancipation,"anticipation,joy,positive"
embargo,negative
embezzlement,negative
embolism,"fear,negative,sadness"
embrace,"anticipation,joy,positive,surprise,trust"
embroil,negative
emergency,"fear,negative,sadness,surprise"
emeritus,positive
emir,positive
empathy,positive
emphasize,trust
employ,trust
empower,positive
emptiness,sadness
emulate,positive
enclave,negative
encore,positive
encroachment,"fear,negative"
encumbrance,"anger,fear,negative,sadness"
encyclopedia,"positive,trust"
endeavor,"anticipation,positive"
endemic,"disgust,fear,negative,sadness"
endless,"anger,fear,joy,negative,positive,sadness,trust"
endocarditis,"fear,sadness"
enema,disgust
enemy,"anger,disgust,fear,negative"
energetic,positive
engulf,anticipation
enhance,positive
enigmatic,"fear,negative"
enliven,"joy,positive,surprise,trust"
enmity,"anger,fear,negative,sadness"
enrich,positive
enroll,"anticipation,trust"
ensemble,"positive,trust"
ensign,positive
enterprising,positive
enthusiasm,"anticipation,joy,positive,surprise"
enthusiast,"anticipation,joy,positive,surprise"
entrail,"disgust,negative"
entrust,trust
envious,negative
environ,positive
ephemeris,positive
epic,positive
epidemic,"anger,anticipation,disgust,fear,negative,sadness,surprise"
epilepsy,negative
episcopal,trust
epitaph,sadness
epitome,positive
equilibrium,positive
equity,positive
erase,"fear,negative"
erosion,negative
erotic,"anticipation,joy,negative,positive,surprise,trust"
err,negative
errand,"anticipation,positive,trust"
errant,negative
erratic,"negative,surprise"
erratum,negative
erroneous,negative
error,"negative,sadness"
erudite,positive
escalate,"anger,negative"
eschew,"anger,negative,sadness"
escort,trust
espionage,negative
esprit,positive
essential,positive
esteem,"joy,positive,sadness,trust"
esthetic,positive
estrange,negative
ethereal,fear
euthanasia,"fear,negative,sadness"
evade,"anger,disgust,fear,negative"
evanescence,"sadness,surprise"
evasion,"fear,negative,sadness"
evergreen,"joy,positive,trust"
everlasting,positive
evident,"positive,trust"
evil,"anger,disgust,fear,negative,sadness"
evolution,positive
exact,negative
examination,"fear,negative,surprise"
exasperation,"anger,disgust,negative"
excavation,"anticipation,negative,surprise"
exceed,"anticipation,joy,positive"
excess,negative
exchange,"positive,trust"
excise,negative
exclaim,surprise
exclusion,"disgust,fear,negative,sadness"
excrement,"disgust,negative"
excretion,disgust
excruciate,"fear,negative"
excuse,negative
executor,trust
exemplary,positive
exemption,positive
exhilaration,"joy,positive,surprise"
exigent,"anticipation,disgust,fear,negative,surprise"
exile,"anger,fear,negative,sadness"
existence,positive
exorcism,"fear,negative,sadness"
exotic,positive
expatriate,negative
expedient,"joy,positive,trust"
expedition,"anticipation,positive"
expel,"anger,disgust,fear,negative,sadness"
expenditure,negative
expense,negative
experience,"positive,trust"
experiment,"anticipation,surprise"
expert,"positive,trust"
expertise,"positive,trust"
explain,"positive,trust"
expletive,"anger,negative"
explode,"anger,fear,negative,sadness,surprise"
explore,anticipation
expropriation,negative
expulsion,"anger,disgust,fear,negative,sadness"
extend,positive
extensive,positive
extinct,"negative,sadness"
extinguish,"anger,negative"
extra,positive
extrajudicial,"fear,negative"
extraordinary,positive
extremity,negative
extricate,"anticipation,positive"
exuberance,"joy,positive"
eyewitness,trust
facilitate,positive
faculty,"positive,trust"
fade,negative
faece,"disgust,negative"
fail,"anger,anticipation,fear,negative,sadness"
failure,"disgust,fear,negative,sadness"
fain,"anticipation,joy,positive,trust"
fainting,"fear,negative,sadness,surprise"
fair,positive
fairly,"positive,trust"
faithless,"negative,sadness"
fake,negative
fallible,negative
fallow,negative
falsehood,"anger,negative,trust"
falsely,negative
falsification,"anger,negative"
falsify,"disgust,negative"
falsity,"disgust,negative"
falter,"fear,negative"
fame,positive
famine,"negative,sadness"
fancy,"anticipation,joy,positive"
fanfare,"anticipation,joy,positive,surprise"
farce,negative
farcical,"disgust,negative"
farm,anticipation
fashionable,positive
fast,"negative,sadness"
fat,"disgust,negative,sadness"
fate,"anticipation,negative"
father,trust
fatty,"disgust,negative,sadness"
fault,"negative,sadness"
faultless,"positive,trust"
faulty,negative
favorable,"anticipation,joy,positive,surprise,trust"
fawn,negative
fearless,"fear,positive"
feat,"anticipation,joy,positive,surprise"
feature,positive
febrile,negative
fecal,"disgust,negative"
fece,"disgust,negative"
fee,"anger,negative"
feeble,"negative,sadness"
feel,"anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust"
feign,negative
felicity,"joy,positive"
fall,"negative,sadness"
fellow,"positive,trust"
fellowship,positive
felon,"fear,negative"
felony,negative
female,positive
fence,anger
fender,trust
ferocious,"anger,disgust,fear,negative"
ferocity,"anger,negative"
fertile,positive
fervor,"anger,joy,positive"
fete,"anticipation,joy,positive,surprise"
feud,"anger,negative"
fever,fear
feverish,negative
fiasco,negative
fib,"anger,negative"
fickle,negative
fictitious,negative
fidelity,"joy,positive,trust"
fiend,"anger,disgust,fear,negative"
fierce,"anger,disgust,fear,negative"
fiesta,"anticipation,joy,positive,surprise,trust"
filibuster,negative
fill,trust
filth,"disgust,negative"
filthy,"disgust,negative"
finally,"anticipation,disgust,joy,positive,surprise,trust"
finery,positive
finesse,positive
fire,fear
firearm,"anger,fear,negative"
fireball,positive
fireman,trust
fireproof,positive
firmness,"positive,trust"
firstborn,"anticipation,joy,positive,trust"
fix,trust
fixture,positive
flabby,"disgust,negative"
flaccid,"negative,sadness"
flagging,negative
flagrant,"anger,disgust,negative"
flagship,trust
flake,negative
flange,trust
flap,negative
flatter,"joy,positive"
flatulence,"disgust,negative"
flaunt,negative
flaw,"negative,sadness"
flea,"disgust,negative"
flee,fear
flee,"fear,negative"
fleece,"anger,disgust,negative,sadness"
fleet,positive
flesh,disgust
fleshy,negative
flexibility,positive
flinch,"anticipation,disgust,fear,negative,sadness,surprise"
flirt,"anticipation,joy,negative,positive,surprise,trust"
flog,"anger,disgust,fear,negative,sadness"
flood,fear
flop,"disgust,negative,sadness"
floral,positive
flounder,"fear,negative,sadness"
flow,positive
flowery,positive
flu,"fear,negative"
fluctuation,"anger,fear,negative"
fluke,surprise
flush,positive
fly,"fear,positive"
focus,positive
foe,"anger,fear,negative"
foil,negative
follower,trust
folly,negative
fondness,"joy,positive"
food,"joy,positive,trust"
fool,"disgust,negative"
football,"anticipation,joy,positive"
footing,trust
forage,negative
foray,"anger,negative"
forbearance,positive
forcibly,"anger,fear,negative"
fore,positive
forearm,"anger,anticipation"
forebode,"anticipation,fear,negative"
forecast,"anticipation,trust"
foreclose,"fear,negative,sadness"
forefather,"joy,positive,trust"
foreman,positive
forerunner,positive
foresee,"anticipation,positive,surprise,trust"
foresee,"anticipation,positive"
foresight,"anticipation,positive,trust"
forewarn,"anticipation,fear,negative"
forfeiture,"fear,negative,sadness"
forge,positive
forgery,negative
forget,negative
forgive,positive
forget,"fear,negative,sadness"
forlorn,"negative,sadness"
formality,trust
formidable,fear
formless,negative
formula,"positive,trust"
fornication,negative
forsake,"negative,sadness"
forsake,"anger,negative,sadness"
forthcoming,positive
fortify,positive
fortitude,"joy,positive,trust"
fortress,"fear,positive,sadness,trust"
forward,positive
foul,"anger,disgust,fear,negative"
find,"joy,positive,trust"
foundation,positive
fracture,negative
fragile,"fear,negative,sadness"
fragrant,positive
frailty,"negative,sadness"
framework,trust
frantic,"anticipation,disgust,fear,negative,surprise"
fraternal,"joy,positive,trust"
fraud,"anger,negative"
fraudulent,"anger,disgust,negative"
fraught,"fear,negative,sadness"
freakish,"disgust,fear,negative,surprise"
freedom,"joy,positive,trust"
freely,"joy,positive,trust"
freeze,negative
frenetic,"anger,fear,negative,surprise"
fret,"fear,negative"
friction,anger
friend,"joy,positive,trust"
friendship,"joy,positive,trust"
frigate,fear
frigid,negative
frisky,"anticipation,joy,positive,surprise"
frivolous,negative
frolic,"joy,positive"
frostbite,negative
froth,negative
frugal,positive
fruitful,positive
fruitless,"negative,sadness"
fudge,negative
fugitive,"anger,disgust,fear,negative,sadness,trust"
full,positive
fully,"positive,trust"
fumble,negative
fun,"anticipation,joy,positive"
fundamental,"positive,trust"
funeral,sadness
fungus,"disgust,negative"
funk,"negative,sadness"
furnace,anger
furor,"anger,negative"
furrow,sadness
fury,"anger,fear,negative,sadness"
fuse,"positive,trust"
fusion,positive
fuss,"anger,negative,sadness"
fussy,"disgust,negative"
gaby,"disgust,negative"
gag,"disgust,negative"
gage,trust
gall,"anger,disgust,negative"
gallant,positive
gallantry,positive
gallow,"anger,fear,negative,sadness"
galore,positive
gambler,"anticipation,negative,surprise"
gang,"anger,fear,negative"
gaol,negative
gap,negative
gape,surprise
garbage,"disgust,negative"
garden,"joy,positive"
garish,"disgust,negative,surprise"
garnet,positive
garnish,negative
garrison,"positive,trust"
gash,"fear,negative"
gate,trust
gateway,trust
gauche,negative
gauge,trust
gaunt,negative
gawk,surprise
gazette,"positive,trust"
gear,positive
gelatin,disgust
gem,"joy,positive"
generosity,"anticipation,joy,positive,surprise,trust"
genial,"joy,positive"
genius,positive
gent,"anger,disgust,fear,negative"
genteel,positive
gentleman,"positive,trust"
gentleness,positive
gentry,"positive,trust"
genuine,"positive,trust"
geranium,positive
geriatric,"negative,sadness"
germ,"anticipation,disgust"
germination,anticipation
ghastly,"disgust,fear,negative"
ghetto,"disgust,fear,negative,sadness"
ghost,fear
ghostly,"fear,negative"
giant,fear
gibberish,"anger,negative"
gigantic,positive
giggle,"joy,positive"
girder,"positive,trust"
give,positive
glacial,negative
gladiator,fear
glee,"joy,positive"
glib,negative
glide,"anticipation,joy,positive"
glimmer,"anticipation,joy,positive,surprise"
gloom,"negative,sadness"
gloomy,"negative,sadness"
glorification,"joy,positive"
glorify,"anticipation,joy,positive,surprise,trust"
glory,"anticipation,joy,positive,trust"
gloss,positive
glum,"negative,sadness"
glut,"disgust,negative"
gluttony,"disgust,negative"
gnome,"anger,disgust,fear,negative"
gob,disgust
goblin,"disgust,fear,negative"
god,"anticipation,fear,joy,positive,trust"
godless,"anger,negative"
godly,"joy,positive,trust"
godsend,"joy,positive,surprise"
gold,positive
gonorrhea,"anger,disgust,fear,negative,sadness"
goo,"disgust,negative"
goodly,positive
goodwill,positive
gore,"anger,disgust,fear,negative,sadness"
gorge,"disgust,negative"
gorgeous,"joy,positive"
gorilla,negative
gory,"anger,disgust,fear,negative,sadness"
gospel,"positive,trust"
gossip,negative
gouge,negative
gout,negative
governess,trust
governor,trust
grab,"anger,negative"
gradual,anticipation
graduation,"anticipation,fear,joy,positive,surprise,trust"
grammar,trust
grandchild,"anticipation,joy,positive,trust"
grandeur,positive
grandfather,trust
grandmother,positive
grasp,"anticipation,negative"
gratify,"joy,positive,surprise"
gratitude,"joy,positive"
gratuitous,disgust
grave,"fear,negative,sadness"
gravitate,anticipation
gray,"disgust,sadness"
greasy,disgust
great,positive
greatness,"joy,positive,surprise,trust"
greed,"anger,disgust,negative"
greedy,"disgust,negative"
green,"joy,positive,trust"
greeting,"positive,surprise"
gregarious,positive
grenade,"fear,negative"
grief,"negative,sadness"
grievance,"anger,disgust,negative,sadness"
grieve,"fear,negative,sadness"
grievous,"anger,fear,negative,sadness"
grim,"anger,anticipation,disgust,fear,negative,sadness"
grime,"disgust,negative"
grimy,"disgust,negative"
grin,"anticipation,joy,positive,surprise,trust"
grind,negative
grisly,"disgust,fear,negative"
grist,positive
grit,"positive,trust"
grizzly,"fear,negative"
groan,"disgust,negative,sadness"
grope,"anger,disgust,fear,negative"
gross,"disgust,negative"
grotesque,"disgust,negative"
groundless,negative
groundwork,positive
grow,"anticipation,joy,positive,trust"
growth,positive
grudge,"anger,negative"
grudgingly,negative
gruesome,"disgust,negative"
gruff,"anger,disgust,negative"
grumble,"anger,disgust,negative"
grumpy,"anger,disgust,negative,sadness"
guarantee,"positive,trust"
guardian,"positive,trust"
guardianship,"positive,trust"
gubernatorial,"positive,trust"
guerilla,"fear,negative"
guess,surprise
guidance,"positive,trust"
guide,"positive,trust"
guidebook,"positive,trust"
guile,negative
guillotine,"anger,anticipation,disgust,fear,negative,sadness"
guilt,"disgust,negative,sadness"
guilty,"anger,negative,sadness"
guise,negative
gull,negative
gullible,"negative,sadness,trust"
gulp,"fear,surprise"
gun,"anger,fear,negative"
gunpowder,fear
guru,"positive,trust"
gush,"disgust,joy,negative"
gusset,trust
gutter,disgust
guzzle,negative
gymnast,positive
gypsy,negative
habitat,positive
habitual,anticipation
hag,"disgust,fear,negative"
haggard,"negative,sadness"
hail,"negative,positive,trust"
hairy,"disgust,negative"
hale,positive
halfway,negative
hallucination,"fear,negative"
halter,"anger,fear,negative,sadness"
halt,"fear,negative,sadness"
hamper,negative
hamstring,"anger,negative,sadness"
handbook,trust
handicap,"negative,sadness"
handy,positive
hang,"anger,disgust,fear,negative,sadness"
hangman,"fear,negative"
hanker,anticipation
hap,"anticipation,surprise"
happen,anticipation
happily,"joy,positive"
harbinger,"anger,anticipation,fear,negative"
harbor,trust
harden,"anger,disgust,fear,negative"
hardness,negative
hardship,"negative,sadness"
hardy,"joy,positive,trust"
harlot,"disgust,negative"
harrowing,"fear,negative"
harry,"anger,negative,sadness"
harshness,"anger,fear,negative"
harvest,"anticipation,joy,positive"
hash,negative
hashish,negative
haste,anticipation
hasty,negative
hatred,"anger,disgust,fear,negative,sadness"
haughty,"anger,negative"
haven,"positive,trust"
havoc,"anger,fear,negative"
hawk,fear
haze,"fear,negative"
headache,negative
headlight,anticipation
headway,positive
heady,negative
healthful,"joy,positive"
healthy,positive
hearsay,negative
heartache,"negative,sadness"
heartburn,negative
heartfelt,"joy,positive,sadness,trust"
hearth,positive
heartily,"joy,positive"
heartless,"negative,sadness"
heartworm,disgust
heathen,"fear,negative"
heavenly,"anticipation,joy,positive,trust"
heaven,"joy,positive,trust"
heavily,negative
hedonism,"joy,negative,positive"
heel,negative
heft,"anticipation,fear,positive"
heighten,"fear,negative"
heinous,negative
hell,"anger,disgust,fear,negative,sadness"
hellish,"anger,disgust,fear,negative,sadness"
helmet,"fear,positive"
helper,"positive,trust"
helpful,"joy,positive,trust"
hemorrhage,"disgust,fear,negative,sadness"
hemorrhoid,negative
herbal,positive
heresy,negative
heretic,"disgust,negative"
heritage,trust
hermaphrodite,"negative,surprise"
hermit,"sadness,trust"
hero,"anticipation,joy,positive,surprise,trust"
heroism,"anticipation,joy,positive,surprise,trust"
herpe,"disgust,negative"
herpesvirus,"disgust,negative"
hesitation,"fear,negative"
heyday,"anticipation,joy,positive,trust"
hide,negative
hideous,"disgust,fear,negative,sadness"
high,"anticipation,fear,joy,negative,positive,surprise"
hilarious,"joy,positive,surprise"
hilarity,"joy,positive"
hinder,"negative,sadness"
hindrance,negative
hippie,negative
hire,"anticipation,joy,positive,trust"
hit,"anger,negative"
hitherto,negative
hive,negative
hoarse,negative
hoary,"negative,sadness"
hoax,"anger,disgust,negative,sadness,surprise"
hobby,"joy,positive"
hobo,"negative,sadness"
hog,"disgust,negative"
holiday,"anticipation,joy,positive"
hollow,"negative,sadness"
holocaust,"anger,disgust,fear,negative,sadness"
homage,positive
homeless,"anger,anticipation,disgust,fear,negative,sadness"
homesick,"negative,sadness"
homework,fear
homology,positive
homosexuality,negative
honest,"anger,disgust,fear,joy,positive,sadness,trust"
honesty,"positive,trust"
honey,positive
honeymoon,"anticipation,joy,positive,surprise,trust"
hook,negative
hoot,"anger,disgust,negative"
horde,"negative,surprise"
horizon,"anticipation,positive"
horoscope,anticipation
horrid,"anger,disgust,fear,negative,sadness"
horrific,"anger,disgust,fear,negative,sadness"
horse,trust
hospice,sadness
hostage,"anger,fear,negative"
hot,anger
household,positive
housekeeping,positive
howl,"anger,disgust,fear,negative,sadness,surprise"
huff,"anger,disgust,negative"
hug,"joy,positive,trust"
hulk,disgust
humanitarian,"anticipation,joy,positive,surprise,trust"
humbug,"anger,disgust,negative,sadness"
humility,"positive,trust"
humorist,positive
humorous,"joy,positive"
hunch,negative
hungry,"anticipation,negative"
hunter,"anticipation,fear,negative,sadness"
hunt,"anger,anticipation,fear,negative"
hurrah,"joy,positive"
hurricane,"fear,negative"
husbandry,"positive,trust"
hush,positive
hustler,negative
hut,"positive,sadness"
hydra,"fear,negative"
hydrocephalus,"disgust,fear,negative,sadness"
hygienic,positive
hymn,"anticipation,joy,positive,sadness,trust"
hype,"anticipation,negative"
hyperbole,negative
hypertrophy,"disgust,fear,surprise"
hypocrisy,negative
hypothesis,"anticipation,surprise"
hysteria,"fear,negative"
hysterical,"anger,fear,negative"
idealism,positive
idiocy,"anger,disgust,negative,sadness"
idler,negative
idol,positive
idolatry,"disgust,fear,negative"
illegitimate,"anger,disgust,fear,negative,sadness,surprise"
illicit,"anger,disgust,fear,negative"
illiterate,"disgust,negative"
illogical,negative
illusion,"negative,surprise"
illustrate,positive
illustrious,positive
imaginative,positive
immaculate,"joy,positive,trust"
immediacy,surprise
immediately,"anticipation,negative,positive"
immense,positive
immerse,"anticipation,fear,joy,positive,surprise,trust"
immigrant,fear
imminent,"anticipation,fear"
immovable,"negative,positive,trust"
immunization,trust
impart,"positive,trust"
impassable,negative
impeccable,"positive,trust"
impede,negative
impend,"anticipation,fear"
impenetrable,trust
imperfection,negative
imperfectly,negative
impermeable,"anger,fear"
impervious,positive
implacable,negative
implicate,"anger,negative"
impolite,"disgust,negative"
imposition,negative
impossible,"negative,sadness"
impound,negative
impracticable,negative
impropriety,negative
imprudent,"negative,sadness"
imputation,negative
inability,"negative,sadness"
inaccessible,negative
inaccurate,negative
inadequacy,negative
inadequate,"negative,sadness"
inadmissible,"anger,disgust,negative"
inalienable,positive
inane,negative
inapplicable,negative
inappropriate,"anger,disgust,negative,sadness"
inattention,"anger,negative"
inaudible,negative
incalculable,negative
incapacity,negative
incarceration,"anger,disgust,fear,negative,sadness"
incase,"anger,disgust,fear,negative,sadness"
incendiary,"anger,fear,negative,surprise"
incense,"anger,negative"
incessant,negative
incest,"anger,disgust,fear,negative,sadness"
incestuous,"disgust,negative"
incident,surprise
incineration,negative
incisive,positive
incite,"anger,anticipation,fear,negative"
inclement,negative
incline,trust
incoherent,negative
income,"anticipation,joy,negative,positive,sadness,trust"
incompatible,"anger,disgust,negative,sadness"
incompleteness,negative
incomprehensible,negative
incongruous,"anger,negative"
inconsequential,"negative,sadness"
inconsiderate,"anger,disgust,negative,sadness"
inconsistency,negative
incontinence,surprise
inconvenient,"anger,disgust,negative,sadness"
incorrect,negative
increase,positive
incredulous,"anger,disgust,negative"
incrimination,"fear,negative,sadness"
incubus,"disgust,fear,negative"
indefensible,"fear,negative"
indelible,"positive,trust"
indemnify,negative
indemnity,"positive,trust"
indent,trust
indenture,"anger,negative"
independence,"anticipation,joy,positive,surprise,trust"
indestructible,"positive,trust"
indeterminate,negative
indifference,"anger,disgust,fear,negative,sadness"
indigent,"negative,sadness"
indistinct,negative
individuality,positive
indivisible,trust
indoctrination,"anger,fear,negative"
indolent,negative
indomitable,"fear,positive"
ineffable,positive
ineffective,negative
ineffectual,"disgust,negative"
inept,"anger,disgust,negative"
ineptitude,"disgust,fear,negative,sadness"
inequality,"anger,fear,negative,sadness"
inequitable,negative
inert,negative
inexcusable,"anger,disgust,negative,sadness"
inexpensive,positive
inexperience,negative
inexperienced,negative
inexplicable,"negative,surprise"
infamous,"anger,disgust,fear,negative"
infamy,"negative,sadness"
infant,"anticipation,fear,joy,positive,surprise"
infanticide,"anger,anticipation,disgust,fear,negative,sadness"
infantile,"anger,disgust,negative"
infarct,"fear,negative,surprise"
infectious,"disgust,fear,negative,sadness"
inferno,"anger,fear,negative"
infertility,"negative,sadness"
infestation,"disgust,fear,negative"
infiltration,"negative,positive"
infinite,positive
infinity,"anticipation,joy,positive,trust"
inflammation,negative
influence,"negative,positive"
influential,"positive,trust"
influenza,negative
infraction,"anger,negative"
infringement,negative
ingenious,positive
inheritance,"anticipation,joy,positive,surprise,trust"
inhibit,"anger,disgust,negative,sadness"
inhospitable,"negative,sadness"
inimical,"anger,negative,sadness"
inimitable,"positive,trust"
iniquity,"disgust,negative"
injection,fear
injunction,negative
injustice,"anger,negative"
inmate,"disgust,fear,negative"
innocuous,positive
inoculation,"anticipation,trust"
inoperative,"anger,negative"
inquirer,positive
inquiry,"anticipation,positive"
inquisitive,positive
inseparable,"joy,positive,trust"
insidious,"anger,disgust,fear,negative"
insignia,positive
insipid,negative
insolent,negative
inspector,positive
instability,"disgust,fear,negative"
install,anticipation
instinctive,"anger,disgust,fear,positive"
institute,trust
instructor,"anticipation,positive,trust"
instrumental,positive
insulation,trust
insure,"positive,trust"
insurgent,negative
insurmountable,"fear,negative,sadness"
insurrection,"anger,negative"
intact,"positive,trust"
integrity,"positive,trust"
intellect,positive
intellectual,positive
intense,"anger,disgust,fear,joy,negative,positive,surprise,trust"
intercede,"fear,sadness"
intercession,trust
intercourse,positive
interdiction,negative
interference,negative
interim,anticipation
interior,"disgust,positive,trust"
interlocutory,positive
interlude,positive
interminable,"anger,anticipation,negative,positive"
intermission,anticipation
intervention,"negative,positive,sadness"
interviewer,fear
intestate,negative
intestinal,disgust
intonation,positive
intoxicate,"disgust,negative"
intractable,"anger,negative"
intrepid,positive
intrigue,"anticipation,fear,negative,surprise"
intruder,"anger,fear,negative,surprise"
invariably,positive
invasion,"anger,negative"
inventive,positive
inventor,positive
invigorate,positive
invocation,"anticipation,trust"
invoke,anticipation
involuntary,negative
involution,"anger,negative"
involvement,anger
irate,"anger,negative"
ire,"anger,negative"
iris,fear
irreconcilable,"anger,fear,negative,sadness"
irreducible,positive
irrefutable,"positive,trust"
irrelevant,negative
irreparable,"fear,negative,sadness"
irresponsible,negative
irreverent,negative
irrevocable,negative
jab,anger
jabber,negative
jackpot,"anticipation,joy,positive,surprise"
jail,"fear,negative,sadness"
jam,positive
janitor,disgust
jargon,negative
jar,"fear,negative,sadness"
jaundice,"fear,negative"
jaw,fear
jealous,"anger,disgust,negative"
jealousy,"anger,disgust,fear,negative,sadness"
jeopardize,"anger,fear,negative"
jeopardy,"anticipation,fear,negative"
jerk,"anger,surprise"
jest,"joy,positive,surprise"
job,positive
john,"disgust,negative"
joker,"joy,positive,surprise"
jolt,surprise
jornada,negative
journalism,trust
journalist,positive
journey,"anticipation,fear,joy,positive"
journeyman,trust
jovial,"joy,positive"
joyous,"joy,positive"
judgment,surprise
judiciary,"anticipation,trust"
jumble,negative
jump,"joy,positive"
jungle,fear
junk,negative
junta,negative
jurisprudence,sadness
jurist,trust
jury,trust
justice,"positive,trust"
justifiable,"positive,trust"
justification,positive
juvenile,negative
keepsake,positive
ken,positive
kennel,sadness
kern,negative
kerosene,fear
keynote,positive
keystone,positive
khan,"fear,trust"
kidnap,"anger,fear,negative,sadness,surprise"
kindred,"anticipation,joy,positive,trust"
king,positive
kiss,"anticipation,joy,positive,surprise"
kite,"disgust,negative"
kitten,"joy,positive,trust"
knack,positive
knell,"fear,negative,sadness"
knicker,trust
knight,positive
knotted,negative
know,positive
knowledge,positive
kudo,"joy,positive"
label,trust
laborious,negative
labyrinth,"anticipation,negative"
lace,"anger,fear,negative,positive,sadness,trust"
lackluster,negative
laden,negative
lair,negative
lamb,"joy,positive,trust"
landmark,trust
landslide,"fear,negative,sadness"
languid,negative
lapse,negative
larceny,"disgust,negative"
large,"disgust,surprise,trust"
laser,"positive,trust"
lash,"anger,fear,negative"
latent,"anger,anticipation,disgust,negative,surprise"
latrine,"disgust,negative"
laudable,positive
laughable,"disgust,negative"
laughter,"anticipation,joy,positive,surprise"
launch,"anticipation,positive"
laureate,"positive,trust"
lava,"anger,fear,negative"
lavatory,disgust
lavish,positive
lawlessness,"anger,fear,negative"
lawsuit,"anger,disgust,fear,negative,sadness,surprise"
lawyer,"anger,disgust,fear,negative"
lazy,negative
leader,"positive,trust"
league,positive
leak,negative
leakage,negative
leaky,negative
lean,trust
leave,"negative,sadness,surprise"
lecturer,positive
leer,"disgust,negative"
leery,surprise
leeway,positive
legendary,positive
legislator,trust
legislature,trust
legitimacy,trust
lemma,positive
lemon,"disgust,negative"
lender,trust
lenient,positive
leprosy,"disgust,fear,negative,sadness"
lesbian,"disgust,negative,sadness"
lessen,"anticipation,negative"
less,"disgust,negative"
lesson,"anticipation,positive,trust"
lethal,"disgust,fear,negative,sadness"
lethargy,"negative,sadness"
leukemia,"anger,fear,negative,sadness"
levee,trust
level,"positive,trust"
leverage,positive
levy,negative
lewd,"disgust,negative"
liaison,negative
liar,"disgust,negative"
libel,"anger,fear,negative,trust"
liberty,"anticipation,joy,positive,surprise,trust"
library,positive
lick,"disgust,negative"
lieutenant,trust
lifeblood,positive
lifeless,"fear,negative,sadness"
lighthouse,positive
lightning,"anger,fear,surprise"
like,"joy,positive,trust"
limit,"anger,negative,sadness"
limp,negative
line,fear
linger,anticipation
linguist,"positive,trust"
lint,negative
lion,"fear,positive"
liquor,"anger,joy,negative,sadness"
listless,"negative,sadness"
lithe,positive
litigious,"anger,disgust,negative"
litter,negative
livid,"anger,disgust,negative"
loaf,negative
loafer,negative
loathsome,"anger,disgust,negative"
lobbyist,negative
localize,anticipation
lockup,"fear,negative,sadness"
locust,"fear,negative"
lodge,trust
lofty,negative
logical,positive
lonesome,"negative,sadness"
longevity,positive
loo,"disgust,negative"
loom,"anticipation,fear,negative"
loon,"disgust,negative"
loony,negative
loot,negative
lord,"disgust,negative,positive,trust"
lordship,positive
loss,"anger,fear,negative,sadness"
lose,"negative,sadness"
lottery,anticipation
loudness,"anger,negative"
lounge,negative
louse,"disgust,negative"
lovable,"joy,positive,trust"
lovemake,"joy,positive,trust"
lover,"anticipation,joy,positive,trust"
low,"negative,sadness"
lowland,negative
lowly,"negative,sadness"
loyal,"fear,joy,positive,surprise,trust"
loyalty,"positive,trust"
luck,"anticipation,joy,positive,surprise"
lucky,"joy,positive,surprise"
ludicrous,negative
lull,anticipation
lumber,negative
lump,negative
lumpy,"disgust,negative"
lunacy,"anger,disgust,fear,negative,sadness"
lunatic,"anger,disgust,fear,negative"
lunge,surprise
lurch,negative
lure,negative
lurid,"disgust,negative"
luscious,"anticipation,joy,positive"
lush,"disgust,negative,sadness"
luster,"joy,positive"
lustrous,positive
lusty,disgust
lynch,"anger,disgust,fear,negative,sadness"
lyre,"joy,positive"
lyrical,"joy,positive"
mace,"fear,negative"
machine,trust
